Country Name,Country Code,Time,Time Code,"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]
Australia,AUS,1973,YR1973,..,..
Australia,AUS,1974,YR1974,..,..
Australia,AUS,1975,YR1975,..,..
Australia,AUS,1976,YR1976,..,..
Australia,AUS,1977,YR1977,..,..
Australia,AUS,1978,YR1978,..,..
Australia,AUS,1979,YR1979,..,..
Australia,AUS,1980,YR1980,..,..
Australia,AUS,1981,YR1981,..,..
Australia,AUS,1982,YR1982,..,..
Australia,AUS,1983,YR1983,..,..
Australia,AUS,1984,YR1984,..,..
Australia,AUS,1985,YR1985,..,..
Australia,AUS,1986,YR1986,..,..
Australia,AUS,1987,YR1987,..,..
Australia,AUS,1988,YR1988,..,..
Australia,AUS,1989,YR1989,..,..
Australia,AUS,1990,YR1990,17380.8816876752,15.4371827741345
Australia,AUS,1991,YR1991,17835.3580774279,15.3152712711313
Australia,AUS,1992,YR1992,18253.5816346613,15.3539735797446
Australia,AUS,1993,YR1993,19215.9605874947,15.4817052728898
Australia,AUS,1994,YR1994,20170.5253980883,15.7309147953876
Australia,AUS,1995,YR1995,21038.6667853022,16.1146015841703
Australia,AUS,1996,YR1996,22132.1929034356,16.4710144168098
Australia,AUS,1997,YR1997,23124.9639117233,16.7061760772667
Australia,AUS,1998,YR1998,24378.2453109245,17.6023335431403
Australia,AUS,1999,YR1999,25485.39144594,17.7372431090697
Australia,AUS,2000,YR2000,26541.6653208437,17.8373183976585
Australia,AUS,2001,YR2001,27645.8348537519,17.9307269150375
Australia,AUS,2002,YR2002,29032.4909555888,18.1232107784425
Australia,AUS,2003,YR2003,30121.8184177337,17.8945391341105
Australia,AUS,2004,YR2004,31763.7728186005,18.3688710453093
Australia,AUS,2005,YR2005,33036.5834770249,18.2784730852853
Australia,AUS,2006,YR2006,34846.7156302418,18.2927495943223
Australia,AUS,2007,YR2007,36653.8417179443,18.4547376555999
Australia,AUS,2008,YR2008,37532.9990434133,18.2392898668792
Australia,AUS,2009,YR2009,40312.3951186945,18.1572008366536
Australia,AUS,2010,YR2010,39374.6059179281,17.9737515176961
Australia,AUS,2011,YR2011,42025.4645815618,17.6560553381679
Australia,AUS,2012,YR2012,42866.6043295085,17.4056176654109
Australia,AUS,2013,YR2013,45936.049310436,16.7945880965987
Australia,AUS,2014,YR2014,46914.3867078836,16.1557451398864
Australia,AUS,2015,YR2015,46292.0954391179,16.1984582210401
Australia,AUS,2016,YR2016,47289.2859136343,16.3203306101751
Australia,AUS,2017,YR2017,48418.558421681,16.1491503049618
Australia,AUS,2018,YR2018,50251.3353381469,15.8657135218488
Australia,AUS,2019,YR2019,52011.5191125621,15.5990453615115
Australia,AUS,2020,YR2020,53216.4685369712,14.7761369066259
Australia,AUS,2021,YR2021,56180.9847517007,..
Australia,AUS,2022,YR2022,63216.149216392,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 12/19/2023,,,,,
