Country Name,Country Code,Time,Time Code,"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]
Canada,CAN,1989,YR1989,..,..
Canada,CAN,1990,YR1990,20229.7558681625,15.1489693200763
Canada,CAN,1991,YR1991,20224.6873311056,14.7409640402006
Canada,CAN,1992,YR1992,20626.2020585898,15.0281390353281
Canada,CAN,1993,YR1993,21440.0469855991,14.713309128149
Canada,CAN,1994,YR1994,22632.8340863081,15.0605039615818
Canada,CAN,1995,YR1995,23485.6419280396,15.290466338986
Canada,CAN,1996,YR1996,24050.1750062174,15.5926140091235
Canada,CAN,1997,YR1997,25258.8605604948,15.9438483608679
Canada,CAN,1998,YR1998,26319.6741635105,16.0765716714674
Canada,CAN,1999,YR1999,27841.3533496575,16.2584734079999
Canada,CAN,2000,YR2000,29362.0841609786,16.7574667443141
Canada,CAN,2001,YR2001,30230.8029655917,16.3314367841399
Canada,CAN,2002,YR2002,30963.0530022941,16.7204106851899
Canada,CAN,2003,YR2003,32349.9436608677,17.2083591886595
Canada,CAN,2004,YR2004,33925.7067319515,16.7941859676954
Canada,CAN,2005,YR2005,36327.2286544972,17.0275680997804
Canada,CAN,2006,YR2006,38119.4131958397,16.5952139152245
Canada,CAN,2007,YR2007,39575.3097484091,17.3806307727274
Canada,CAN,2008,YR2008,40376.3068799056,16.5594262937317
Canada,CAN,2009,YR2009,38865.4134577266,15.5045058721079
Canada,CAN,2010,YR2010,40099.4482394377,15.7945376619227
Canada,CAN,2011,YR2011,41666.7076267956,15.9982717192369
Canada,CAN,2012,YR2012,42290.9654102745,15.7368239449526
Canada,CAN,2013,YR2013,44298.5787342765,15.8408097562138
Canada,CAN,2014,YR2014,45753.7505547994,15.8521772244521
Canada,CAN,2015,YR2015,44670.0805385838,15.6499072848632
Canada,CAN,2016,YR2016,46472.3402486315,15.4218225254765
Canada,CAN,2017,YR2017,48317.1745835151,15.5471947150649
Canada,CAN,2018,YR2018,49992.7622757708,15.6366541621759
Canada,CAN,2019,YR2019,49832.4053770764,15.0527469447143
Canada,CAN,2020,YR2020,47226.3651403334,13.5993749178773
Canada,CAN,2021,YR2021,53023.4205562458,..
Canada,CAN,2022,YR2022,58347.6696097595,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 12/19/2023,,,,,
