Country Name,Country Code,Time,Time Code,"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]
China,CHN,1989,YR1989,..,..
China,CHN,1990,YR1990,981.419207420534,1.91454626338438
China,CHN,1991,YR1991,1093.56622897686,2.00054328368585
China,CHN,1992,YR1992,1262.02548339564,2.07574040533233
China,CHN,1993,YR1993,1454.4915919855,2.24484207935915
China,CHN,1994,YR1994,1660.34687963985,2.32218922921378
China,CHN,1995,YR1995,1860.52506258639,2.5634787588548
China,CHN,1996,YR1996,2060.86809986211,2.52187187384502
China,CHN,1997,YR1997,2266.72883825823,2.54790366441071
China,CHN,1998,YR1998,2448.48229050966,2.60583573214379
China,CHN,1999,YR1999,2650.17868573754,2.51742076336975
China,CHN,2000,YR2000,2917.24252978556,2.65040910152893
China,CHN,2001,YR2001,3208.22995654432,2.77476219679994
China,CHN,2002,YR2002,3532.08165141829,2.96482122774133
China,CHN,2003,YR2003,3938.73027454873,3.43403647935424
China,CHN,2004,YR2004,4427.13100327793,3.94515487143877
China,CHN,2005,YR2005,5056.40472418203,4.46769636118185
China,CHN,2006,YR2006,5842.77863600308,4.91027619715946
China,CHN,2007,YR2007,6818.92340935134,5.30636800631315
China,CHN,2008,YR2008,7581.45351262692,5.43507909606652
China,CHN,2009,YR2009,8305.76018511512,5.79831993750282
China,CHN,2010,YR2010,9254.77960352629,6.33541976743751
China,CHN,2011,YR2011,10292.940478173,6.90134732553428
China,CHN,2012,YR2012,11168.6972979983,7.04520023039603
China,CHN,2013,YR2013,11872.4973811817,7.32015492503154
China,CHN,2014,YR2014,12480.3385303005,7.30471287157582
China,CHN,2015,YR2015,12897.502286878,7.14513153508327
China,CHN,2016,YR2016,13483.3772664595,7.10547993572515
China,CHN,2017,YR2017,14243.5326108491,7.22616015441748
China,CHN,2018,YR2018,15497.8257403082,7.53319313353674
China,CHN,2019,YR2019,16655.3993636127,7.64543578560038
China,CHN,2020,YR2020,17209.4429541562,7.75613790659769
China,CHN,2021,YR2021,19484.4861576535,..
China,CHN,2022,YR2022,21482.5621847397,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 12/19/2023,,,,,
