Country Name,Country Code,Time,Time Code,"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]
Australia,AUS,2003,YR2003,30121.8184177337,17.8945391341105
Australia,AUS,2004,YR2004,31763.7728186005,18.3688710453093
Australia,AUS,2005,YR2005,33036.5834770249,18.2784730852853
Australia,AUS,2006,YR2006,34846.7156302418,18.2927495943223
Australia,AUS,2007,YR2007,36653.8417179443,18.4547376555999
Australia,AUS,2008,YR2008,37532.9990434133,18.2392898668792
Australia,AUS,2009,YR2009,40312.3951186945,18.1572008366536
Australia,AUS,2010,YR2010,39374.6059179281,17.9737515176961
Australia,AUS,2011,YR2011,42025.4645815618,17.6560553381679
Australia,AUS,2012,YR2012,42866.6043295085,17.4056176654109
Australia,AUS,2013,YR2013,45936.049310436,16.7945880965987
Australia,AUS,2014,YR2014,46914.3867078836,16.1557451398864
Australia,AUS,2015,YR2015,46292.0954391179,16.1984582210401
Australia,AUS,2016,YR2016,47289.2859136343,16.3203306101751
Australia,AUS,2017,YR2017,48418.558421681,16.1491503049618
Australia,AUS,2018,YR2018,50251.3353381469,15.8657135218488
Australia,AUS,2019,YR2019,52011.5191125621,15.5990453615115
Australia,AUS,2020,YR2020,53216.4685369712,14.7761369066259
Australia,AUS,2021,YR2021,56180.9847517007,..
Australia,AUS,2022,YR2022,63216.149216392,..
Canada,CAN,2003,YR2003,32349.9436608677,17.2083591886595
Canada,CAN,2004,YR2004,33925.7067319515,16.7941859676954
Canada,CAN,2005,YR2005,36327.2286544972,17.0275680997804
Canada,CAN,2006,YR2006,38119.4131958397,16.5952139152245
Canada,CAN,2007,YR2007,39575.3097484091,17.3806307727274
Canada,CAN,2008,YR2008,40376.3068799056,16.5594262937317
Canada,CAN,2009,YR2009,38865.4134577266,15.5045058721079
Canada,CAN,2010,YR2010,40099.4482394377,15.7945376619227
Canada,CAN,2011,YR2011,41666.7076267956,15.9982717192369
Canada,CAN,2012,YR2012,42290.9654102745,15.7368239449526
Canada,CAN,2013,YR2013,44298.5787342765,15.8408097562138
Canada,CAN,2014,YR2014,45753.7505547994,15.8521772244521
Canada,CAN,2015,YR2015,44670.0805385838,15.6499072848632
Canada,CAN,2016,YR2016,46472.3402486315,15.4218225254765
Canada,CAN,2017,YR2017,48317.1745835151,15.5471947150649
Canada,CAN,2018,YR2018,49992.7622757708,15.6366541621759
Canada,CAN,2019,YR2019,49832.4053770764,15.0527469447143
Canada,CAN,2020,YR2020,47226.3651403334,13.5993749178773
Canada,CAN,2021,YR2021,53023.4205562458,..
Canada,CAN,2022,YR2022,58347.6696097595,..
Estonia,EST,2003,YR2003,13133.2295806355,12.1702462939185
Estonia,EST,2004,YR2004,14536.4357518937,12.2967964478368
Estonia,EST,2005,YR2005,16634.8927393745,12.4062667232566
Estonia,EST,2006,YR2006,19344.0518292848,11.9467482421425
Estonia,EST,2007,YR2007,22198.0167377302,14.7431154339589
Estonia,EST,2008,YR2008,22802.3421764634,13.0742881930162
Estonia,EST,2009,YR2009,20478.090033102,10.5265958044683
Estonia,EST,2010,YR2010,21618.3569485855,13.8946656903059
Estonia,EST,2011,YR2011,24557.2361475947,13.9385689285911
Estonia,EST,2012,YR2012,25996.0467779508,12.8442211967073
Estonia,EST,2013,YR2013,27464.5186781161,14.2993496950297
Estonia,EST,2014,YR2014,28945.4653303277,13.3847833280717
Estonia,EST,2015,YR2015,29175.9259267894,10.929773066435
Estonia,EST,2016,YR2016,31312.7522996878,12.0894671642131
Estonia,EST,2017,YR2017,33821.93290847,12.7324303316269
Estonia,EST,2018,YR2018,36410.1220937377,11.8889360404909
Estonia,EST,2019,YR2019,39007.1659628423,7.58212010267556
Estonia,EST,2020,YR2020,39441.849084436,5.33839981587368
Estonia,EST,2021,YR2021,43476.8542259429,..
Estonia,EST,2022,YR2022,46556.3855294316,..
Germany,DEU,2003,YR2003,29909.6751784674,10.138763607454
Germany,DEU,2004,YR2004,31334.0153417535,9.9504461302536
Germany,DEU,2005,YR2005,31794.0960095207,9.7294631214949
Germany,DEU,2006,YR2006,34158.1283737265,9.88647957169216
Germany,DEU,2007,YR2007,36292.07670786,9.52762326749987
Germany,DEU,2008,YR2008,37802.3874303197,9.61745788706108
Germany,DEU,2009,YR2009,36816.2071751134,8.97173140678443
Germany,DEU,2010,YR2010,38950.7108756447,9.45338862684134
Germany,DEU,2011,YR2011,42541.5310884096,9.29900290355714
Germany,DEU,2012,YR2012,43359.6148271723,9.45128904680279
Germany,DEU,2013,YR2013,44993.8927459315,9.62422936749002
Germany,DEU,2014,YR2014,47011.5510935131,9.08852776834501
Germany,DEU,2015,YR2015,47609.7810045816,9.08734480366678
Germany,DEU,2016,YR2016,50579.6839299266,9.07297238768971
Germany,DEU,2017,YR2017,53071.4555699913,8.8583445114547
Germany,DEU,2018,YR2018,55195.8405428372,8.53704268780674
Germany,DEU,2019,YR2019,57411.5705910313,7.9271876239049
Germany,DEU,2020,YR2020,56454.2794274403,7.2552210281684
Germany,DEU,2021,YR2021,59055.2414596188,..
Germany,DEU,2022,YR2022,63521.899395912,..
South Africa,ZAF,2003,YR2003,9213.44244001779,7.33895617266971
South Africa,ZAF,2004,YR2004,9799.58074130903,7.82476407533056
South Africa,ZAF,2005,YR2005,10540.1371364829,7.70429784499698
South Africa,ZAF,2006,YR2006,11364.2016632385,7.67271219877509
