Country Name,Country Code,Time,Time Code,"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]
Argentina,ARG,1990,YR1990,7183.58382562643,3.07356315436491
Argentina,ARG,1991,YR1991,7990.18800352353,3.1990381855872
Argentina,ARG,1992,YR1992,8699.39508000729,3.21497210834572
Argentina,ARG,1993,YR1993,9506.50543115127,3.24024222946087
Argentina,ARG,1994,YR1994,10138.6816541837,3.24482839246807
Argentina,ARG,1995,YR1995,9925.12989526904,3.23030803714634
Argentina,ARG,1996,YR1996,10531.8458193995,3.4627891850664
Argentina,ARG,1997,YR1997,11444.4740607451,3.52129780315044
Argentina,ARG,1998,YR1998,11880.4806279761,3.6615567575534
Argentina,ARG,1999,YR1999,11506.6988843989,3.66960102153625
Argentina,ARG,2000,YR2000,11542.9860028113,3.56791849018313
Argentina,ARG,2001,YR2001,11159.3299223816,3.34187706655833
Argentina,ARG,2002,YR2002,9990.72022161809,3.10048866797723
Argentina,ARG,2003,YR2003,10974.3241728286,3.33489087930132
Argentina,ARG,2004,YR2004,12162.3374741639,3.65608487008491
Argentina,ARG,2005,YR2005,13513.6702919661,3.73671686472615
Argentina,ARG,2006,YR2006,14896.7335378162,3.92426184145235
Argentina,ARG,2007,YR2007,16510.4482429226,4.08315143871477
Argentina,ARG,2008,YR2008,17336.9328242167,4.15237520977984
Argentina,ARG,2009,YR2009,16249.730130137,3.84834822677955
Argentina,ARG,2010,YR2010,18063.9143432506,4.09984413971278
Argentina,ARG,2011,YR2011,19322.2271236942,4.28102814513
Argentina,ARG,2012,YR2012,19641.3528638347,4.26411100150765
Argentina,ARG,2013,YR2013,20131.6804246983,4.34225013023383
Argentina,ARG,2014,YR2014,19683.7715056442,4.20911189491323
Argentina,ARG,2015,YR2015,20105.1989918165,4.30191380564475
Argentina,ARG,2016,YR2016,20307.870052142,4.20181586904703
Argentina,ARG,2017,YR2017,23597.117752839,4.07011168693629
Argentina,ARG,2018,YR2018,23294.0986752419,3.97565074444479
Argentina,ARG,2019,YR2019,23007.8365916056,3.74202981162433
Argentina,ARG,2020,YR2020,20797.7259531997,3.4056175404138
Argentina,ARG,2021,YR2021,23834.4731183679,..
Argentina,ARG,2022,YR2022,26530.3231237638,..
Australia,AUS,1990,YR1990,17380.8816876752,15.4371827741345
Australia,AUS,1991,YR1991,17835.3580774279,15.3152712711313
Australia,AUS,1992,YR1992,18253.5816346613,15.3539735797446
Australia,AUS,1993,YR1993,19215.9605874947,15.4817052728898
Australia,AUS,1994,YR1994,20170.5253980883,15.7309147953876
Australia,AUS,1995,YR1995,21038.6667853022,16.1146015841703
Australia,AUS,1996,YR1996,22132.1929034356,16.4710144168098
Australia,AUS,1997,YR1997,23124.9639117233,16.7061760772667
Australia,AUS,1998,YR1998,24378.2453109245,17.6023335431403
Australia,AUS,1999,YR1999,25485.39144594,17.7372431090697
Australia,AUS,2000,YR2000,26541.6653208437,17.8373183976585
Australia,AUS,2001,YR2001,27645.8348537519,17.9307269150375
Australia,AUS,2002,YR2002,29032.4909555888,18.1232107784425
Australia,AUS,2003,YR2003,30121.8184177337,17.8945391341105
Australia,AUS,2004,YR2004,31763.7728186005,18.3688710453093
Australia,AUS,2005,YR2005,33036.5834770249,18.2784730852853
Australia,AUS,2006,YR2006,34846.7156302418,18.2927495943223
Australia,AUS,2007,YR2007,36653.8417179443,18.4547376555999
Australia,AUS,2008,YR2008,37532.9990434133,18.2392898668792
Australia,AUS,2009,YR2009,40312.3951186945,18.1572008366536
Australia,AUS,2010,YR2010,39374.6059179281,17.9737515176961
Australia,AUS,2011,YR2011,42025.4645815618,17.6560553381679
Australia,AUS,2012,YR2012,42866.6043295085,17.4056176654109
Australia,AUS,2013,YR2013,45936.049310436,16.7945880965987
Australia,AUS,2014,YR2014,46914.3867078836,16.1557451398864
Australia,AUS,2015,YR2015,46292.0954391179,16.1984582210401
Australia,AUS,2016,YR2016,47289.2859136343,16.3203306101751
Australia,AUS,2017,YR2017,48418.558421681,16.1491503049618
Australia,AUS,2018,YR2018,50251.3353381469,15.8657135218488
Australia,AUS,2019,YR2019,52011.5191125621,15.5990453615115
Australia,AUS,2020,YR2020,53216.4685369712,14.7761369066259
Australia,AUS,2021,YR2021,56180.9847517007,..
Australia,AUS,2022,YR2022,63216.149216392,..
