source: ,Kaasa Minkov 2022,Kaasa Minkov 2022,Inglehart Welzel 2021,Inglehart Welzel 2021,Minkov Kaasa 2022,Minkov Kaasa 2022,Beugelsdijk Welzel 2018,Beugelsdijk Welzel 2018
country,freedom (vs concern),responsibility (vs faith),self-expression (vs survival),secular (vs traditional),individualism (vs collectivism),flexibility (vs monumentalism),individualism (vs collectivism),duty (vs joy)
Albania,-0.49,-0.26,-0.86,-0.25,-91,38,34.2,0
Algeria,-0.42,-0.95,-0.87,-0.81,-83,-95,9.8,-43.2
Andorra,1.85,0.32,2.00,0.72,108,-8,92.3,-89.4
Argentina,0.68,-0.48,0.34,-0.46,-5,-80,36.2,-66
Armenia,-0.74,-0.37,-0.98,-0.50,-127,-38,26.3,-28.3
Azerbaijan,-1.16,0.23,-1.04,-0.53,-88,55,24.1,-22.1
Australia,1.57,0.53,1.66,0.33,83,41,66.3,-89.4
Austria,1.18,0.81,1.48,0.56,95,-2,53.4,-71.7
Bangladesh,-0.88,-1.41,-0.62,-1.52,-173,-39,4.2,-17
Belarus,-0.59,0.61,-0.51,0.26,-13,27,42.1,-13.4
Belgium,1.16,0.14,1.50,0.20,110,63,56.2,-62.1
Bolivia,0.15,-1.37,-0.32,-1.24,-106,-116,,0
Bosnia Herzegovina,-0.49,0.07,-0.73,-0.01,-43,-47,36.2,-46
Brazil,0.01,-0.57,0.00,-0.65,-56,-83,25.3,-63.7
Bulgaria,-0.76,0.95,-0.74,0.77,-6,19,46.6,-10.9
Burkina Faso,-0.78,-1.44,-0.74,-1.25,,,15.5,-14.3
Canada,1.79,-0.16,2.03,-0.60,78,31,58.6,-86.6
Chile,0.64,-0.32,-0.01,-0.23,-8,-153,24.5,-60.8
China,-0.98,1.37,-0.36,0.71,-31,134,29.6,-29.2
Colombia,0.67,-1.35,0.27,-1.71,-81,-182,16.6,-86.3
Croatia,0.18,0.30,0.01,0.01,-33,-32,43.7,-52.9
Czech Rep.,-0.10,1.26,0.75,1.15,70,17,63,-41.2
Cyprus,0.20,-0.38,-0.47,-0.43,-24,-97,31.7,-70.9
Cyprus (T),0.15,-0.38,,,,,32.7,-41.5
Denmark,2.37,0.80,2.86,0.90,140,51,94.3,-87.8
Dominican Rep.,,,,,-49,-159,26.2,-67.1
Ecuador,0.33,-1.59,-0.03,-1.73,-100,-102,14.1,-84.5
Egypt,-1.08,-1.06,,,-141,-111,2.8,-13.1
El Salvador,,,,,,,,0
