Country Name,Country Code,1998 [YR1998] - GDP per capita (current US$) [NY.GDP.PCAP.CD],1999 [YR1999] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2000 [YR2000] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2001 [YR2001] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2002 [YR2002] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2003 [YR2003] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2004 [YR2004] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2005 [YR2005] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2006 [YR2006] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2007 [YR2007] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2008 [YR2008] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2009 [YR2009] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2010 [YR2010] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2011 [YR2011] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2012 [YR2012] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2013 [YR2013] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2014 [YR2014] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2015 [YR2015] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2016 [YR2016] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2017 [YR2017] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2018 [YR2018] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2019 [YR2019] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2020 [YR2020] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2021 [YR2021] - GDP per capita (current US$) [NY.GDP.PCAP.CD],2022 [YR2022] - GDP per capita (current US$) [NY.GDP.PCAP.CD]
Albania,ALB,813.789396580449,1033.24253162418,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78781583529,2972.74362094736,3595.03829536404,4370.53971639449,4114.13403283023,4094.34968570481,4437.14116097061,4247.63134315945,4413.06338346821,4578.63320812155,3952.80357364813,4124.05538986272,4531.03220675893,5287.66080067575,5396.2142432843,5343.0377039956,6377.20309553753,6810.11404104233
Andorra,AND,18592.2436421492,18884.1769792473,21620.4651019373,22809.0877599631,24784.9560887634,31954.1617868177,37630.7642639554,39583.9311942065,43084.283724089,50562.8266054777,53721.3885067173,49750.7185512247,48237.8905407208,51428.1896998835,44902.38771225,44747.7611562684,45680.5469412164,38885.5485894753,39931.2362644858,40632.2089824607,42904.8115883352,41328.6123929102,37207.2388711909,42072.3194231234,41992.7727779758
Armenia,ARM,584.384267258527,575.62847915563,603.298025247115,676.150011307766,765.31617768154,910.171261745184,1166.63820390025,1608.16340758242,2109.5263835731,3064.27996263859,3908.94906011431,2917.36624185176,3143.0294799683,3462.68177840431,3643.71540108565,3833.15707396348,4017.22991449473,3666.14182210905,3679.95234740376,4041.99507105058,4391.92326991474,4828.50488626598,4505.86774175695,4972.78320361917,7018.05150434798
Azerbaijan,AZE,561.906807871869,573.893528734031,655.097249579917,703.670998584686,763.108895463487,883.692580745256,1045.0136328106,1578.36733030667,2472.95725732287,3851.33015175141,5574.46810432575,4950.39949009423,5843.5337683582,7189.81869211976,7495.86527658099,7875.34536661549,7890.84028062087,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7762.0738285884
Austria,AUT,27361.8751106437,27183.4759263956,24625.6007227434,24558.7636778868,26527.5930910347,32294.0488606559,36889.2335135194,38417.4577857677,40669.3269586152,46915.3374004507,51919.9835754226,48153.3240199631,46903.7615854343,51442.2762464407,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51466.5565633634,50067.5857265892,48789.4978498872,53517.8904509612,52084.6811953372
Belarus,BLR,1511.25979105507,1210.5874393672,1276.28038121269,1244.37318523431,1479.38066337175,1819.52653114699,2378.33700470129,3126.07176665248,3848.22350300163,4735.48107556066,6376.17569162063,5352.48809190697,6034.67885177216,6527.6593428786,6953.21591683101,7998.0802045456,8341.29014337961,5967.06856034227,5039.77560949445,5785.53397723676,6360.05310087258,6837.76832136779,6542.8645398436,7489.71894713888,7888.26371063212
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,
